similarity(%)	image name	time and date
0 %	the_100.jpg	23/03/2019 19:17:27
0 %	butterfly.jpg	23/03/2019 19:17:27
0 %	malcomx.jpg	23/03/2019 19:17:27
0 %	life.JPEG	23/03/2019 19:17:27
0 %	prayer.jpg	23/03/2019 19:17:27
0 %	unnamed.jpg	23/03/2019 19:17:27
0 %	sherlock.jpg	23/03/2019 19:17:27
0 %	madam.jpg	23/03/2019 19:17:27
0 %	memory.jpg	23/03/2019 19:17:27
0 %	condame.jpg	23/03/2019 19:17:27
0 %	unnamed-1.jpg	23/03/2019 19:17:27
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:18:07
0 %	rose.jpg	23/03/2019 19:18:07
0 %	arabic.jpg	23/03/2019 19:18:07
0 %	the_100.jpg	23/03/2019 19:18:07
0 %	butterfly.jpg	23/03/2019 19:18:07
0 %	malcomx.jpg	23/03/2019 19:18:07
0 %	life.JPEG	23/03/2019 19:18:07
0 %	prayer.jpg	23/03/2019 19:18:07
0 %	unnamed.jpg	23/03/2019 19:18:07
0 %	sherlock.jpg	23/03/2019 19:18:07
0 %	madam.jpg	23/03/2019 19:18:07
0 %	memory.jpg	23/03/2019 19:18:07
0 %	condame.jpg	23/03/2019 19:18:07
0 %	unnamed-1.jpg	23/03/2019 19:18:07
similarity(%)	image name	time and date
4 %	malcomx.jpg	23/03/2019 19:19:21
0 %	likeblack.jpg	23/03/2019 19:19:21
0 %	rose.jpg	23/03/2019 19:19:21
0 %	arabic.jpg	23/03/2019 19:19:21
0 %	the_100.jpg	23/03/2019 19:19:21
0 %	butterfly.jpg	23/03/2019 19:19:21
0 %	life.JPEG	23/03/2019 19:19:21
0 %	prayer.jpg	23/03/2019 19:19:21
0 %	unnamed.jpg	23/03/2019 19:19:21
0 %	sherlock.jpg	23/03/2019 19:19:21
0 %	madam.jpg	23/03/2019 19:19:21
0 %	memory.jpg	23/03/2019 19:19:21
0 %	condame.jpg	23/03/2019 19:19:21
0 %	unnamed-1.jpg	23/03/2019 19:19:21
similarity(%)	image name	time and date
0 %	likeblack.jpg	23/03/2019 19:19:44
0 %	rose.jpg	23/03/2019 19:19:44
0 %	arabic.jpg	23/03/2019 19:19:44
0 %	the_100.jpg	23/03/2019 19:19:44
0 %	butterfly.jpg	23/03/2019 19:19:44
0 %	malcomx.jpg	23/03/2019 19:19:44
0 %	life.JPEG	23/03/2019 19:19:44
0 %	prayer.jpg	23/03/2019 19:19:44
0 %	unnamed.jpg	23/03/2019 19:19:44
0 %	sherlock.jpg	23/03/2019 19:19:44
0 %	madam.jpg	23/03/2019 19:19:44
0 %	memory.jpg	23/03/2019 19:19:44
0 %	condame.jpg	23/03/2019 19:19:44
0 %	unnamed-1.jpg	23/03/2019 19:19:44
similarity(%)	image name	time and date
33 %	malcomx.jpg	23/03/2019 19:22:32
1 %	life.JPEG	23/03/2019 19:22:32
1 %	unnamed-1.jpg	23/03/2019 19:22:32
0 %	likeblack.jpg	23/03/2019 19:22:32
0 %	rose.jpg	23/03/2019 19:22:32
0 %	arabic.jpg	23/03/2019 19:22:32
0 %	the_100.jpg	23/03/2019 19:22:32
0 %	butterfly.jpg	23/03/2019 19:22:32
0 %	prayer.jpg	23/03/2019 19:22:32
0 %	unnamed.jpg	23/03/2019 19:22:32
0 %	sherlock.jpg	23/03/2019 19:22:32
0 %	madam.jpg	23/03/2019 19:22:32
0 %	memory.jpg	23/03/2019 19:22:32
0 %	condame.jpg	23/03/2019 19:22:32
similarity(%)	image name	time and date
29 %	malcomx.jpg	23/03/2019 19:23:26
1 %	life.JPEG	23/03/2019 19:23:26
1 %	unnamed-1.jpg	23/03/2019 19:23:26
0 %	likeblack.jpg	23/03/2019 19:23:26
0 %	rose.jpg	23/03/2019 19:23:26
0 %	arabic.jpg	23/03/2019 19:23:26
0 %	the_100.jpg	23/03/2019 19:23:26
0 %	butterfly.jpg	23/03/2019 19:23:26
0 %	prayer.jpg	23/03/2019 19:23:26
0 %	unnamed.jpg	23/03/2019 19:23:26
0 %	sherlock.jpg	23/03/2019 19:23:26
0 %	madam.jpg	23/03/2019 19:23:26
0 %	memory.jpg	23/03/2019 19:23:26
0 %	condame.jpg	23/03/2019 19:23:26
similarity(%)	image name	time and date
22 %	malcomx.jpg	23/03/2019 21:14:49
1 %	life.JPEG	23/03/2019 21:14:49
0 %	likeblack.jpg	23/03/2019 21:14:49
0 %	rose.jpg	23/03/2019 21:14:49
0 %	arabic.jpg	23/03/2019 21:14:49
0 %	the_100.jpg	23/03/2019 21:14:49
0 %	butterfly.jpg	23/03/2019 21:14:49
0 %	prayer.jpg	23/03/2019 21:14:49
0 %	unnamed.jpg	23/03/2019 21:14:49
0 %	sherlock.jpg	23/03/2019 21:14:49
0 %	madam.jpg	23/03/2019 21:14:49
0 %	memory.jpg	23/03/2019 21:14:49
0 %	condame.jpg	23/03/2019 21:14:49
0 %	unnamed-1.jpg	23/03/2019 21:14:49
